Date,Open,High,Low,Close,Volume
3-May-17,156.29,156.54,154.88,155.59,3931244
2-May-17,155.76,156.50,154.61,156.45,5384839
1-May-17,151.91,157.70,151.61,155.35,9031631
28-Apr-17,152.71,152.97,150.94,152.20,6366247
27-Apr-17,150.60,153.49,149.30,153.08,7719365
26-Apr-17,151.53,152.15,148.90,150.17,9274081
25-Apr-17,147.46,153.52,146.22,152.16,20674167
24-Apr-17,143.61,144.50,143.40,143.83,4800920
21-Apr-17,141.39,143.03,140.90,142.87,6824786
20-Apr-17,140.30,141.80,139.27,141.18,7248180
19-Apr-17,143.37,144.00,138.66,139.76,12395064
18-Apr-17,147.34,147.40,140.00,143.36,19670975
17-Apr-17,144.43,147.32,144.43,147.25,16364743
13-Apr-17,144.25,144.55,142.76,142.92,3685789
12-Apr-17,144.85,145.74,143.55,143.83,4386954
11-Apr-17,144.28,144.54,141.98,144.35,4621451
10-Apr-17,143.04,144.65,141.21,143.85,5807440
7-Apr-17,143.79,143.89,142.71,143.11,3040506
6-Apr-17,144.00,144.14,143.01,143.74,3312410
5-Apr-17,146.19,146.25,143.26,143.62,4607636
4-Apr-17,146.84,147.09,144.89,145.50,4368919
3-Apr-17,146.70,148.00,145.74,146.92,4609336
31-Mar-17,148.00,148.22,147.33,147.81,3888237
30-Mar-17,146.81,148.29,146.53,148.06,4461068
29-Mar-17,145.50,147.18,144.91,146.47,3855031
28-Mar-17,144.10,146.11,143.92,145.17,4638003
27-Mar-17,140.83,144.39,140.00,144.06,4771650
24-Mar-17,142.36,142.80,141.58,142.02,3546599
23-Mar-17,142.14,142.89,141.26,141.84,3712625
22-Mar-17,142.54,143.80,140.76,142.65,6486893
21-Mar-17,146.75,147.70,142.10,142.42,7669753
20-Mar-17,145.45,146.25,144.58,145.83,3421046
17-Mar-17,144.05,145.76,143.40,145.11,6281316
16-Mar-17,145.50,146.50,144.22,144.39,5286456
15-Mar-17,144.20,145.52,143.23,145.25,5987198
14-Mar-17,142.95,143.31,141.70,143.19,4660294
13-Mar-17,140.90,143.71,140.32,143.52,4922432
10-Mar-17,141.39,141.80,140.28,140.89,3318464
9-Mar-17,140.04,141.24,139.74,140.53,2652740
8-Mar-17,141.47,142.06,139.77,140.32,4092550
7-Mar-17,141.99,142.40,140.38,141.43,4241037
6-Mar-17,141.00,142.84,140.54,141.94,7116118
3-Mar-17,139.69,140.91,138.26,139.14,5401104
2-Mar-17,142.15,142.70,139.09,139.53,6119945
1-Mar-17,142.84,143.26,142.10,142.65,4170649
28-Feb-17,143.30,143.57,141.85,142.13,3862221
27-Feb-17,143.12,143.92,142.38,143.41,3907377
24-Feb-17,141.88,143.56,141.55,143.25,3302714
